[FIXES]
AAJAY N038.55.56.440 W084.32.22.670
AANTS N038.43.07.160 W078.27.45.530
ACAFO N042.45.03.490 W075.30.44.930
ACAPO N041.26.33.680 W081.48.20.860
ACARI N040.46.09.890 W080.08.21.640
ACATI N043.43.27.060 W083.47.45.340
ACAVU N041.50.52.400 W079.33.16.350
ACELO N039.22.28.120 W078.17.12.970
ACETE N040.15.50.080 W080.35.26.100
ACHLE N038.32.31.570 W082.37.42.790
ACIBE N040.50.48.050 W085.32.47.830
ACIDY N043.03.00.780 W075.57.13.310
ACIKI N039.41.01.450 W079.55.28.150
ACIRA N041.56.34.580 W083.34.25.800
ACISA N040.50.21.830 W085.23.31.350
ACOBI N038.55.23.650 W078.14.00.400
ACOCU N040.06.49.290 W076.16.54.160
ACOSA N038.36.30.070 W079.03.17.610
ACOTI N040.40.29.860 W086.03.08.970
ACTRA N039.57.26.900 W084.07.43.350
ACUSA N040.00.26.440 W077.35.35.870
ADACO N039.01.39.170 W076.46.24.930
ADAXE N038.54.02.610 W077.04.05.220
ADCOK N039.13.16.340 W076.41.41.560
ADDEK N038.40.21.670 W077.24.26.920
ADDIC N041.55.48.910 W083.54.28.700
ADECI N040.50.30.170 W086.03.21.370
ADINE N037.39.01.600 W080.35.53.050
ADIOS N038.27.25.130 W078.42.10.610
ADRAN N041.09.37.100 W079.31.36.320
ADRIE N042.57.29.800 W083.06.49.840
ADROW N039.11.25.360 W081.38.09.620
ADUPE N039.31.35.710 W077.22.57.540
ADVAW N040.10.26.120 W079.54.29.060
ADZAB N038.34.53.060 W083.37.23.670
AERIC N042.13.16.140 W083.05.50.460
AEROS N040.29.32.710 W081.43.28.180
AEVON N042.54.47.420 W077.51.50.130
AFAGA N039.21.02.180 W081.33.19.770
AFECY N041.12.27.250 W085.07.37.860
AFFTR N042.37.28.580 W083.08.10.220
AFJEF N042.57.18.440 W084.27.38.080
AFKEZ N042.05.19.720 W076.38.20.520
AFLAK N041.14.59.530 W084.16.02.030
AFLAT N038.01.31.490 W078.17.40.020
AFUWY N038.11.49.040 W077.14.07.270
AFXAD N039.30.29.220 W079.59.56.040
AGACI N040.39.13.990 W085.48.05.360
AGBUT N044.44.52.800 W079.46.43.450
AGCAP N040.26.34.480 W080.37.48.340
AGDOX N043.17.03.380 W079.06.16.010 ;updated 1909
AGEBE N039.24.53.000 W084.46.48.000
AGEYU N042.42.25.290 W085.26.21.070
AGFAR N040.10.33.360 W079.37.27.910
AGFUB N042.32.23.270 W077.02.42.850
AGLOW N037.25.11.510 W079.11.30.090
AGOBE N042.03.41.680 W078.38.40.570
AGOVY N040.01.05.850 W078.23.56.580
AGUBE N040.11.16.100 W084.48.46.190
AHAFY N037.59.22.870 W079.45.14.340
AHCIN N038.42.51.350 W080.05.43.890
AHLER N038.02.32.110 W079.38.37.680
AHLES N042.02.53.110 W083.12.26.000
AHMET N041.18.48.100 W081.27.33.450
AHNEM N040.23.25.250 W079.25.17.790
AHOVI N041.03.48.130 W083.16.25.150
