[RUNWAY]
05R 23L -307 -127 N042.13.50.275 W083.32.23.496 N042.14.41.193 W083.31.10.614
05L 23R -307 -127 N042.13.56.297 W083.32.29.326 N042.14.36.893 W083.31.31.221
09 27 -265 -85 N042.14.38.240 W083.32.36.000 N042.14.40.047 W083.30.58.996
01 19 011 191 N040.54.25.805 W081.26.28.896 N040.55.40.833 W081.26.24.618
01 19 009 189 N042.36.05.622 W082.50.14.104 N042.37.35.120 W082.50.11.107
02 20 020 200 N042.04.39.491 W080.10.48.858 N042.05.13.608 W080.10.40.686
03 21 032 212 N039.17.16.032 W080.13.58.364 N039.18.27.080 W080.13.19.865
03 21 035 215 N040.10.06.830 W080.39.04.722 N040.10.51.254 W080.38.36.464
03 21 029 209 N040.16.24.188 W079.24.02.844 N040.16.57.756 W079.23.47.134
03L 21R 036 216 N042.12.28.206 W083.21.04.386 N042.13.41.853 W083.20.10.114
03R 21L 036 216 N042.11.44.212 W083.21.06.487 N042.13.10.855 W083.20.02.651
04 22 043 223 N043.06.24.762 W077.41.15.757 N043.07.32.038 W077.40.19.162
04L 22R 036 216 N042.12.07.821 W083.23.02.400 N042.13.34.480 W083.21.58.611
04R 22L 036 216 N042.12.08.366 W083.22.16.565 N042.13.52.364 W083.20.59.964
05 23 055 235 N042.55.52.318 W078.44.30.066 N042.56.55.103 W078.43.07.706
05 23 056 239 N040.54.18.291 W081.27.26.016 N040.55.13.087 W081.26.07.283
05 23 049 229 N040.18.37.427 W078.50.21.635 N040.19.10.949 W078.49.45.731
05 23 055 235 N040.15.54.827 W079.25.15.177 N040.16.51.492 W079.23.59.167
05 23 052 232 N043.31.36.553 W084.05.21.280 N043.32.31.827 W084.04.03.641
05 23 054 234 N040.48.41.537 W082.31.29.339 N040.49.27.409 W082.30.24.722
05 23 054 234 N041.14.59.000 W080.40.56.951 N041.15.33.961 W080.40.10.675
06 24 061 241 N042.13.12.876 W083.45.00.381 N042.13.32.967 W083.44.22.446
06 24 058 238 N041.33.38.072 W081.29.36.387 N041.34.10.817 W081.28.45.369
06 24 064 244 N042.04.35.940 W080.11.03.836 N042.05.24.258 W080.09.32.946
06 24 061 241 N043.06.06.355 W078.56.44.295 N043.06.39.202 W078.55.50.609
06 24 057 237 N042.15.21.959 W084.28.00.073 N042.15.55.259 W084.27.04.845
06 24 059 239 N042.46.23.401 W084.36.03.764 N042.46.53.124 W084.35.10.177
06L 24R 066 246 N041.30.50.877 W081.41.31.399 N041.31.25.536 W081.40.17.856
06L 24R 058 238 N041.23.59.533 W081.52.24.551 N041.24.56.747 W081.50.54.145
06R 24L 066 246 N041.30.45.676 W081.41.30.074 N041.31.12.945 W081.40.32.196
06R 24L 058 238 N041.23.51.854 W081.52.11.381 N041.24.55.140 W081.50.31.369
07 25 071 251 N042.24.10.355 W083.00.56.659 N042.24.26.840 W083.00.12.440
07 25 075 255 N043.06.58.210 W077.40.21.320 N043.07.15.626 W077.39.32.910
07 25 074 254 N041.34.52.989 W083.49.50.523 N041.35.33.619 W083.47.41.966
07 25 063 243 N042.16.24.240 W082.58.12.569 N042.17.05.207 W082.56.26.319
09 27 095 275 N042.58.08.310 W083.45.35.371 N042.58.10.476 W083.43.58.560
09L 27R 096 276 N042.13.01.079 W083.21.47.405 N042.13.03.022 W083.19.51.715
09L 27R 095 275 N042.39.58.055 W083.26.03.841 N042.40.00.339 W083.24.47.935
09R 27L 096 276 N042.11.56.454 W083.21.42.224 N042.11.58.337 W083.19.49.329
09R 27L 095 275 N042.39.52.612 W083.26.03.531 N042.39.55.258 W083.24.36.331
10 28 099 279 N040.21.15.421 W079.56.27.958 N040.21.15.519 W079.55.03.993
10 28 101 281 N040.46.22.385 W080.23.58.331 N040.46.19.399 W080.22.59.972
10 28 101 281 N041.25.01.255 W081.51.15.283 N041.24.57.820 W081.49.56.440
10 28 099 279 N043.07.22.002 W077.40.39.448 N043.07.24.585 W077.39.13.197
